,Id,Parent,Rank,Rarity Score
0,1029,UTOPIA AVATARS,1,48471.67
1,286,UTOPIA AVATARS,2,48218.41
2,3394,UTOPIA AVATARS,3,48143.18
3,556,UTOPIA AVATARS,4,41887.46
4,2182,UTOPIA AVATARS,5,41475.51
5,3224,UTOPIA AVATARS,6,41461.49
6,5732,UTOPIA AVATARS,7,34892.16
7,4949,UTOPIA AVATARS,8,34857.01
8,1400,UTOPIA AVATARS,9,8401.18
9,4973,UTOPIA AVATARS,10,7897.65
10,5118,UTOPIA AVATARS,11,7721.86
11,6028,UTOPIA AVATARS,12,7406.85
12,6004,UTOPIA AVATARS,13,7183.0
13,3810,UTOPIA AVATARS,14,7008.83
14,5755,UTOPIA AVATARS,15,6977.7
15,2389,UTOPIA AVATARS,16,6966.11
16,1051,UTOPIA AVATARS,17,6957.53
17,330,UTOPIA AVATARS,18,6901.31
18,838,UTOPIA AVATARS,19,6867.5
19,1672,UTOPIA AVATARS,20,6838.97
20,1355,UTOPIA AVATARS,21,6834.57
21,4955,UTOPIA AVATARS,22,6798.66
22,6174,UTOPIA AVATARS,23,6791.17
23,3776,UTOPIA AVATARS,24,6773.18
24,6146,UTOPIA AVATARS,25,6725.27
25,6162,UTOPIA AVATARS,26,6705.17
26,5259,UTOPIA AVATARS,27,6698.77
27,4692,UTOPIA AVATARS,28,6695.07
28,450,UTOPIA AVATARS,29,6693.18
29,574,UTOPIA AVATARS,30,6689.47
30,6499,UTOPIA AVATARS,31,6685.22
31,4479,UTOPIA AVATARS,32,6679.62
32,5963,UTOPIA AVATARS,33,5691.55
33,6229,UTOPIA AVATARS,34,5641.9
34,2441,UTOPIA AVATARS,35,5628.43
35,6272,UTOPIA AVATARS,36,5109.27
36,5611,UTOPIA AVATARS,37,4756.16
37,2527,UTOPIA AVATARS,38,4710.28
38,1618,UTOPIA AVATARS,39,4572.44
39,5189,UTOPIA AVATARS,40,4472.9
40,1930,UTOPIA AVATARS,41,4468.73
41,3933,UTOPIA AVATARS,42,4406.65
42,3813,UTOPIA AVATARS,43,4377.17
43,1338,UTOPIA AVATARS,44,4320.35
44,2385,UTOPIA AVATARS,45,4172.36
45,5968,UTOPIA AVATARS,46,4153.83
46,3043,UTOPIA AVATARS,47,4103.13
47,4669,UTOPIA AVATARS,48,4009.66
48,896,UTOPIA AVATARS,49,3936.45
49,6468,UTOPIA AVATARS,50,3807.66
50,702,SPOOKY BOYS COUNTRY CLUB,1,46239.7
51,1735,SPOOKY BOYS COUNTRY CLUB,1,46239.7
52,1753,SPOOKY BOYS COUNTRY CLUB,1,46239.7
53,4314,SPOOKY BOYS COUNTRY CLUB,1,46239.7
54,4884,SPOOKY BOYS COUNTRY CLUB,1,46239.7
55,6564,SPOOKY BOYS COUNTRY CLUB,1,46239.7
56,9984,SPOOKY BOYS COUNTRY CLUB,1,46239.7
57,10106,SPOOKY BOYS COUNTRY CLUB,1,46239.7
58,10557,SPOOKY BOYS COUNTRY CLUB,1,46239.7
59,12007,SPOOKY BOYS COUNTRY CLUB,1,46239.7
60,6117,SPOOKY BOYS COUNTRY CLUB,11,2461.11
61,10996,SPOOKY BOYS COUNTRY CLUB,12,2389.53
62,8258,SPOOKY BOYS COUNTRY CLUB,13,2360.43
63,1186,SPOOKY BOYS COUNTRY CLUB,14,2346.34
64,3214,SPOOKY BOYS COUNTRY CLUB,15,2305.3
65,12438,SPOOKY BOYS COUNTRY CLUB,16,2293.71
66,3533,SPOOKY BOYS COUNTRY CLUB,17,2291.74
67,7447,SPOOKY BOYS COUNTRY CLUB,18,2286.28
68,12424,SPOOKY BOYS COUNTRY CLUB,19,2276.59
69,1456,SPOOKY BOYS COUNTRY CLUB,20,1897.01
